Date,Open,High,Low,Close
31-Jul-17,2763.24,2889.62,2720.61,2875.34
30-Jul-17,2724.39,2758.53,2644.85,2757.18
29-Jul-17,2807.02,2808.76,2692.8,2726.45
28-Jul-17,2679.73,2897.45,2679.73,2809.01
27-Jul-17,2538.71,2693.32,2529.34,2671.78
26-Jul-17,2577.77,2610.76,2450.8,2529.45
25-Jul-17,2757.5,2768.08,2480.96,2576.48
24-Jul-17,2732.7,2777.26,2699.19,2754.86
23-Jul-17,2808.1,2832.18,2653.94,2730.4
22-Jul-17,2668.63,2862.42,2657.71,2810.12
21-Jul-17,2838.41,2838.41,2621.85,2667.76
20-Jul-17,2269.89,2900.7,2269.89,2817.6
19-Jul-17,2323.08,2397.17,2260.23,2273.43
18-Jul-17,2233.52,2387.61,2164.77,2318.88
17-Jul-17,1932.62,2230.49,1932.62,2228.41
16-Jul-17,1991.98,2058.77,1843.03,1929.82
15-Jul-17,2230.12,2231.14,1990.41,1998.86
14-Jul-17,2360.59,2363.25,2183.22,2233.34
13-Jul-17,2402.7,2425.22,2340.83,2357.9
12-Jul-17,2332.77,2423.71,2275.14,2398.84
11-Jul-17,2385.89,2413.47,2296.81,2337.79
10-Jul-17,2525.25,2537.16,2321.13,2372.56
9-Jul-17,2572.61,2635.49,2517.59,2518.44
8-Jul-17,2520.27,2571.34,2492.31,2571.34
7-Jul-17,2608.59,2916.14,2498.87,2518.66
6-Jul-17,2608.1,2616.72,2581.69,2608.56
5-Jul-17,2602.87,2622.65,2538.55,2601.99
4-Jul-17,2561,2631.59,2559.35,2601.64
3-Jul-17,2498.56,2595,2480.47,2564.06
2-Jul-17,2436.4,2514.28,2394.84,2506.47
1-Jul-17,2492.6,2515.27,2419.23,2434.55
30-Jun-17,2539.24,2559.25,2478.43,2480.84
29-Jun-17,2567.56,2588.83,2510.48,2539.32
28-Jun-17,2553.03,2603.98,2484.42,2574.79
27-Jun-17,2478.45,2552.45,2332.99,2552.45
26-Jun-17,2590.57,2615.25,2376.29,2478.45
25-Jun-17,2607.25,2682.26,2552.12,2589.41
24-Jun-17,2738.52,2757.94,2583.19,2608.72
23-Jun-17,2707.34,2765.17,2706.37,2744.91
22-Jun-17,2691.03,2723.74,2642.36,2705.41
21-Jun-17,2709.43,2772.01,2660.4,2689.1
20-Jun-17,2591.26,2763.45,2589.82,2721.79
19-Jun-17,2549.03,2662.85,2549.03,2589.6
18-Jun-17,2655.35,2662.1,2516.33,2548.29
17-Jun-17,2514.01,2685.19,2484.96,2655.88
16-Jun-17,2469.57,2539.92,2385.15,2518.56
15-Jun-17,2499.58,2534.71,2212.96,2464.58
14-Jun-17,2716.88,2786.83,2412.94,2506.37
13-Jun-17,2680.91,2789.04,2650.38,2717.02
12-Jun-17,2953.22,2997.26,2518.56,2659.63
11-Jun-17,2942.41,2996.6,2840.53,2958.11
10-Jun-17,2828.14,2950.99,2746.55,2947.71
9-Jun-17,2807.44,2901.71,2795.62,2823.81
8-Jun-17,2720.49,2815.3,2670.95,2805.62
7-Jun-17,2869.38,2869.38,2700.56,2732.16
6-Jun-17,2690.84,2999.91,2690.84,2863.2
5-Jun-17,2512.4,2686.81,2510.22,2686.81
4-Jun-17,2547.79,2585.89,2452.54,2511.81
3-Jun-17,2493.72,2581.91,2423.57,2515.35
2-Jun-17,2404.03,2488.55,2373.32,2488.55
1-Jun-17,2288.33,2448.39,2288.33,2407.88
31-May-17,2187.19,2311.08,2145.57,2286.41
30-May-17,2255.36,2301.96,2124.57,2175.47
29-May-17,2159.43,2307.05,2107.17,2255.61
28-May-17,2054.08,2267.34,2054.08,2155.8
27-May-17,2196.27,2260.2,1855.83,2038.87
26-May-17,2320.89,2573.79,2071.99,2202.42
25-May-17,2446.24,2763.71,2285.3,2304.98
24-May-17,2321.37,2523.72,2321.37,2443.64
23-May-17,2191.56,2320.82,2178.5,2320.42
22-May-17,2043.19,2303.9,2017.87,2173.4
21-May-17,2067.03,2119.08,2037.5,2041.2
20-May-17,1984.24,2084.73,1974.92,2084.73
19-May-17,1897.37,2004.52,1890.25,1987.71
18-May-17,1818.7,1904.48,1807.12,1888.65
17-May-17,1726.73,1864.05,1661.91,1839.09
16-May-17,1741.7,1785.94,1686.54,1734.45
15-May-17,1808.44,1812.8,1708.54,1738.43
14-May-17,1800.86,1831.42,1776.62,1808.91
13-May-17,1723.12,1812.99,1651.08,1804.91
12-May-17,1845.76,1856.15,1694.01,1724.24
11-May-17,1780.37,1873.93,1755.35,1848.57
10-May-17,1756.52,1788.44,1719.1,1787.13
9-May-17,1723.89,1833.49,1716.3,1755.36
8-May-17,1596.92,1723.35,1596.92,1723.35
7-May-17,1579.47,1596.72,1559.76,1596.71
6-May-17,1556.81,1578.8,1542.5,1578.8
5-May-17,1540.87,1618.03,1530.31,1555.45
4-May-17,1490.72,1608.91,1490.72,1537.67
3-May-17,1453.78,1492.77,1447.49,1490.09
2-May-17,1421.03,1473.9,1415.69,1452.82
1-May-17,1348.3,1434.32,1348.3,1421.6
30-Apr-17,1321.87,1347.91,1314.92,1347.89
29-Apr-17,1317.84,1327.2,1315.21,1321.79
28-Apr-17,1317.74,1331.28,1292.37,1316.48
27-Apr-17,1281.88,1319.7,1281.3,1317.73
26-Apr-17,1265.99,1294.83,1265.93,1281.08
25-Apr-17,1250.45,1267.58,1249.97,1265.49
24-Apr-17,1209.63,1250.94,1209.63,1250.15
23-Apr-17,1231.92,1232.2,1203.94,1207.21
22-Apr-17,1222.71,1235.56,1208.47,1231.71
21-Apr-17,1229.42,1235.94,1215.56,1222.05
20-Apr-17,1211.08,1240.79,1208.41,1229.08
19-Apr-17,1212.13,1215.51,1205.08,1210.29
18-Apr-17,1193.77,1217.57,1193.77,1211.67
17-Apr-17,1183.25,1194.9,1172.65,1193.91
16-Apr-17,1172.61,1187.22,1172.61,1182.94
15-Apr-17,1167.3,1188,1164.96,1172.52
14-Apr-17,1170.33,1190.8,1159.79,1167.54
13-Apr-17,1201.02,1205.89,1156.44,1169.28
12-Apr-17,1204.81,1207.14,1196.76,1200.37
11-Apr-17,1187.46,1208.07,1187.46,1205.01
10-Apr-17,1187.3,1190.34,1179.04,1187.13
9-Apr-17,1176.57,1197.21,1171.86,1187.87
8-Apr-17,1172.65,1184.98,1162.58,1175.95
7-Apr-17,1178.94,1186.58,1163.39,1176.9
6-Apr-17,1125.81,1188.37,1125.81,1182.68
5-Apr-17,1134.14,1135.09,1113.63,1124.78
4-Apr-17,1145.52,1156.44,1120.52,1133.25
3-Apr-17,1102.95,1151.74,1102.95,1143.81
2-Apr-17,1080.61,1107.59,1075.45,1102.17
1-Apr-17,1071.71,1091.72,1061.09,1080.5
31-Mar-17,1026.64,1074.92,1026.64,1071.79
30-Mar-17,1042.21,1049.29,1020.04,1026.43
29-Mar-17,1046.08,1055.13,1015.88,1039.97
28-Mar-17,1044.58,1064.65,1027.73,1047.15
27-Mar-17,972.05,1046.4,971.98,1045.77
26-Mar-17,974.01,1007.96,954.19,966.73
25-Mar-17,936.54,975.76,903.71,972.78
24-Mar-17,1038.45,1040.47,934.36,937.52
23-Mar-17,1050.05,1058.01,1028.93,1038.59
22-Mar-17,1120.65,1120.65,1014.21,1049.14
21-Mar-17,1055.36,1122.43,1055.36,1120.54
20-Mar-17,1037.24,1063.03,1036.68,1054.23
19-Mar-17,976.73,1069.91,976.73,1036.74
18-Mar-17,1099.69,1114.07,957.65,973.82
17-Mar-17,1180.16,1180.16,1099.57,1100.23
16-Mar-17,1251.33,1257.98,1152.44,1187.81
15-Mar-17,1240.16,1251.61,1239.75,1249.61
14-Mar-17,1232.16,1244.81,1220.72,1240
13-Mar-17,1221.78,1237.37,1217.03,1231.92
12-Mar-17,1176.62,1226.98,1175.36,1221.38
11-Mar-17,1116.32,1193.83,1116.32,1175.83
10-Mar-17,1189.36,1270.47,1077.25,1116.72
9-Mar-17,1150.35,1197.46,1141.23,1188.49
8-Mar-17,1223.23,1232.16,1148.08,1150
7-Mar-17,1273.21,1275.55,1204.8,1223.54
6-Mar-17,1267.47,1276,1264.6,1272.83
5-Mar-17,1254.29,1267.29,1238.06,1267.12
4-Mar-17,1277.43,1279.4,1230.51,1255.15
3-Mar-17,1250.71,1280.31,1250.71,1274.99
2-Mar-17,1224.68,1262.13,1215.62,1251.01
1-Mar-17,1180.04,1222.5,1179.69,1222.5
28-Feb-17,1180.72,1193.25,1171.82,1179.97
27-Feb-17,1163.78,1181.98,1163.38,1179.97
26-Feb-17,1144.27,1167.47,1130.2,1165.2
25-Feb-17,1170.41,1174.85,1124.59,1143.84
24-Feb-17,1172.71,1200.39,1131.96,1173.68
23-Feb-17,1117.27,1176.62,1116.96,1166.72
22-Feb-17,1114.8,1125.39,1100.55,1117.44
21-Feb-17,1079.28,1117.25,1076.93,1115.3
